Time (s)	mag_x	mag_y	mag_z
1479414250.867213	23.829354	9.084213	-62.206512
1479414250.885205	24.205437	8.857605	-62.028883
1479414250.909054	24.144194	8.607178	-62.097014
1479414250.933117	24.186363	7.375391	-62.321264
1479414250.950940	23.984091	7.421407	-62.190763
1479414250.975130	24.083897	7.612123	-62.128982
1479414250.987065	23.829696	7.265089	-61.966860
1479414251.011028	23.970600	7.111063	-61.803481
1479414251.077222	24.383561	6.195170	-61.373166
1479414251.119413	23.747434	5.417615	-60.194340
1479414251.155174	23.476778	4.718053	-59.122659
1479414251.179573	23.846123	3.780101	-59.184302
1479414251.209090	23.807300	3.497859	-58.957456
1479414251.238805	23.840392	3.234255	-58.672119
1479414251.245225	23.852157	2.725685	-58.570666
1479414251.257070	23.861570	2.318829	-58.489503
1479414251.311127	24.351934	2.408936	-57.646383
1479414251.323204	24.406235	1.927149	-57.329608
1479414251.335220	24.449676	1.541719	-57.076188
1479414251.353183	24.339585	1.233376	-56.873452
1479414251.365251	24.106668	0.433575	-57.131732
1479414251.407019	23.767890	-0.906384	-56.654801
1479414251.413117	23.649312	-1.278233	-56.536342
1479414251.431235	23.337185	-1.506571	-56.231341
1479414251.443328	23.015061	-1.620100	-55.777106
1479414251.460849	22.757361	-1.710924	-55.413717
1479414251.467166	22.985733	-1.783583	-55.403319
1479414251.479208	22.878743	-2.394835	-54.974532
1479414251.491237	22.793151	-2.883837	-54.631502
1479414251.527011	22.669899	-3.339093	-54.389820
1479414251.557168	22.163201	-3.866804	-53.288754
1479414251.587069	22.368121	-3.954364	-53.516446
1479414251.623160	22.405563	-3.686775	-53.365771
1479414251.665166	22.178499	-3.834629	-53.353097
1479414251.677072	22.088112	-3.897391	-53.474511
1479414251.695043	22.305490	-3.947600	-53.151173
1479414251.701281	22.479392	-3.849487	-53.172815
1479414251.713141	22.618514	-3.770996	-53.190128
1479414251.725083	22.874656	-4.123047	-52.923667
1479414251.743175	22.862303	-4.335547	-52.640419
1479414251.791166	22.864997	-4.806965	-52.002336
1479414251.845211	23.145938	-5.964155	-50.083209
1479414251.862903	23.224173	-6.361559	-49.947585
1479414251.869280	23.141917	-6.679482	-49.418616
1479414251.881100	23.148534	-7.279523	-49.345832
1479414251.899114	23.153827	-7.759556	-49.287604
1479414251.911172	23.013218	-7.452176	-49.241022
1479414251.928796	23.552528	-7.690257	-48.993522
1479414251.935059	23.983976	-7.880721	-48.795522
1479414251.947220	24.329134	-8.033093	-48.917435
1479414251.959182	24.387995	-7.947568	-48.664574
1479414251.982810	24.435084	-7.879149	-48.462286
1479414251.989118	24.255490	-7.755272	-48.230377
1479414252.001106	24.111814	-7.656171	-48.044850
1479414252.067096	24.475025	-7.922320	-48.119211
1479414252.103184	24.046292	-8.052556	-48.662624
1479414252.115197	23.509925	-8.170561	-48.951272
1479414252.133061	23.587784	-7.919261	-48.971957
1479414252.157234	23.569542	-7.930750	-49.632446
1479414252.181188	23.369570	-7.481774	-50.629799
1479414252.193120	23.330656	-7.229950	-51.015560
1479414252.217081	22.937416	-6.959351	-51.394246
1479414252.223183	22.695246	-6.812012	-51.767273
1479414252.265082	22.092170	-6.897766	-52.369282
1479414252.289094	22.090911	-6.917461	-52.171140
1479414252.313125	22.234949	-6.902410	-51.511735
1479414252.337243	21.660853	-7.279965	-51.005623
1479414252.385080	21.562560	-8.149577	-49.675148
1479414252.409064	21.885049	-8.732162	-48.850276
1479414252.450946	21.518021	-10.544180	-46.556163
1479414252.475230	21.433768	-11.159448	-45.759744
1479414252.487327	21.782015	-11.554902	-45.297484
1479414252.499263	22.060612	-11.871266	-44.927676
1479414252.517350	22.066225	-12.193497	-44.281439
1479414252.523388	22.070714	-12.866126	-43.764449
1479414252.541210	22.074306	-13.404230	-43.350857
1479414252.553227	22.294445	-14.042134	-42.949906
1479414252.571258	21.963603	-13.930192	-42.418910
1479414252.577248	21.698930	-13.840638	-41.994114
1479414252.589245	22.138988	-13.699855	-41.864511
1479414252.601045	22.128925	-13.794650	-41.690751
1479414252.637157	22.042013	-14.276858	-41.510614
1479414252.643295	22.123767	-14.187112	-41.477711
1479414252.655113	22.189170	-14.115315	-41.451389
1479414252.667223	22.024227	-14.541861	-41.220097
1479414252.685198	21.892273	-14.744818	-41.175219
1479414252.721117	21.373979	-15.389894	-40.583056
1479414252.745167	22.268581	-15.505236	-40.002798
1479414252.757134	22.811975	-15.515518	-39.640755
1479414252.775315	22.305205	-15.454602	-39.421199
1479414252.787205	22.044633	-15.682432	-39.245554
1479414252.805114	21.836176	-15.864696	-39.105038
1479414252.811222	21.886675	-15.941367	-38.502079
1479414252.823219	22.071919	-16.140984	-38.440180
1479414252.835223	22.220113	-16.300678	-38.390660
1479414252.865144	22.201764	-16.392357	-37.758728
1479414252.901209	22.355151	-16.902716	-36.350243
1479414252.919003	22.301855	-16.910064	-36.017930
1479414252.931102	22.621328	-16.985083	-36.242626
1479414252.943141	22.949329	-17.252520	-35.791680
1479414252.955319	23.211729	-17.466469	-35.430923
1479414252.972950	23.276805	-17.637629	-35.282474
1479414253.021183	22.900362	-17.535730	-34.671206
1479414253.039057	22.738024	-17.969600	-34.254231
1479414253.069194	22.148835	-18.141702	-33.580453
1479414253.111180	21.757367	-18.359803	-33.227069
1479414253.123123	21.896050	-18.144874	-33.028844
1479414253.153242	21.371535	-18.111939	-32.603243
1479414253.165471	21.152853	-18.361427	-32.389627
1479414253.177188	20.977908	-18.561017	-32.218733
1479414253.194715	20.910374	-18.789829	-31.871785
1479414253.213000	20.740702	-19.050179	-31.442256
1479414253.225078	20.720609	-18.904597	-31.250603
1479414253.243216	20.704534	-18.788131	-31.097280
1479414253.267395	20.608965	-18.883155	-31.058698
1479414253.279133	20.832485	-18.978399	-30.733522
1479414253.291184	20.794035	-19.123736	-30.823772
1479414253.303213	20.835697	-19.170864	-30.545581
1479414253.327218	20.869027	-19.208567	-30.323028
1479414253.333083	21.112956	-19.307869	-29.794595
1479414253.375150	21.597797	-20.107380	-29.034997
1479414253.381101	21.913238	-20.096061	-28.974405
1479414253.399230	22.165591	-20.087006	-28.925931
1479414253.447436	23.533854	-19.784080	-27.356633
1479414253.459410	23.534505	-19.768280	-27.141167
1479414253.477327	23.679870	-20.032202	-26.828637
1479414253.495162	24.158272	-19.759356	-26.648692
1479414253.542882	24.497217	-19.532612	-26.052742
1479414253.555198	24.594884	-20.120231	-26.098054
1479414253.567079	24.455751	-20.106341	-25.783912
1479414253.596753	24.400244	-20.501184	-25.331549
1479414253.633131	24.445432	-20.358826	-24.535449
1479414253.645198	24.263768	-20.781202	-24.323594
1479414253.669040	24.074593	-21.182002	-23.808289
1479414253.681177	24.256784	-20.886617	-23.601710
1479414253.693080	24.402537	-20.650310	-23.436447
1479414253.711276	23.577655	-20.945249	-23.374314
1479414253.789047	23.845414	-21.730124	-22.244630
1479414253.831042	23.807941	-21.386294	-20.762902
1479414253.848883	24.043462	-21.050051	-20.184306
1479414253.867084	24.165348	-21.049846	-19.701520
1479414253.885265	24.619075	-21.195737	-19.335201
1479414253.915174	25.851818	-21.544101	-19.228170
1479414253.945330	27.419232	-20.986831	-18.820431
1479414253.975187	27.977059	-20.677510	-18.772577
1479414253.987230	27.885710	-20.413884	-18.521968
1479414253.999412	27.812631	-20.202982	-18.321481
1479414254.029161	29.141350	-19.885456	-18.046796
1479414254.041161	29.613784	-19.711100	-18.011422
1479414254.065138	30.511354	-19.778074	-17.133561
1479414254.101090	30.859377	-19.855844	-16.772503
1479414254.119241	30.770939	-19.618269	-16.641597
1479414254.131177	31.569252	-19.843053	-16.536872
1479414254.143150	31.773371	-19.884599	-16.453091
1479414254.155201	31.936666	-19.917836	-16.386067
1479414254.197084	32.038152	-19.791887	-15.097546
1479414254.209179	32.076069	-19.912807	-14.670928
1479414254.233257	32.058248	-19.741228	-14.126676
1479414254.245198	32.164567	-19.526577	-14.104466
1479414254.275174	32.245246	-19.424901	-14.002406
1479414254.304951	32.108583	-20.148031	-13.754884
1479414254.311225	31.915148	-20.128582	-13.246408
1479414254.323259	31.977666	-20.182163	-12.769548
1479414254.335186	32.027680	-20.225028	-12.388061
1479414254.359056	31.778004	-20.397601	-12.503340
1479414254.377269	31.548830	-19.774934	-12.795482
1479414254.419098	31.271799	-19.749787	-12.351750
1479414254.436949	31.100877	-19.671705	-11.983744
1479414254.449000	31.253827	-19.609239	-11.829495
1479414254.461136	31.376187	-19.559267	-11.706097
1479414254.473078	31.691341	-19.864992	-11.116831
1479414254.490872	31.219245	-19.694729	-10.785574
1479414254.497075	30.841568	-19.558518	-10.520569
1479414254.539134	29.750925	-19.381134	-8.797935
1479414254.551103	29.666912	-19.169361	-8.650145
1479414254.563047	29.454858	-19.414786	-8.251601
1479414254.575106	29.285215	-19.611126	-7.932765
1479414254.587167	29.077079	-19.560777	-7.887931
1479414254.611046	28.910570	-19.520497	-7.852064
1479414254.641181	26.120303	-20.108386	-7.179379
1479414254.658921	25.893352	-20.166006	-6.934832
1479414254.665227	26.146323	-19.935540	-6.318725
1479414254.683167	26.348699	-19.751167	-5.825839
1479414254.707137	25.713121	-19.596295	-5.340334
1479414254.743127	24.874288	-19.159866	-3.844289
1479414254.761179	24.679274	-18.923206	-3.355744
1479414254.778895	24.595686	-18.941300	-2.474361
1479414254.785155	24.383971	-19.094056	-1.909410
1479414254.797116	24.214599	-19.216261	-1.457450
1479414254.821233	23.825859	-18.645517	-0.302065
1479414254.844937	23.623266	-18.442586	0.108739
1479414254.851148	23.606035	-18.556804	0.437382
1479414254.863208	23.592250	-18.648178	0.700296
1479414254.875143	23.653644	-18.790418	0.840549
1479414254.892891	24.209713	-18.835069	1.583455
1479414254.899364	24.654567	-18.870790	2.177780
1479414254.917420	24.431076	-18.484523	2.372927
1479414254.929463	24.397127	-18.313791	2.809357
1479414254.941362	24.369968	-18.177205	3.158502
1479414254.965717	24.823327	-17.593334	4.193863
1479414254.995360	25.243836	-16.901609	5.150823
